"Status","Name","Duration in ms","Description"
"passed","97-其它.登录页-直播大厅pvs-字段","4","登录页-直播大厅pvs-字段"
"failed","A库影片.试看结束order-条数","2","试看结束order-条数"
"passed","01仍然搜.搜索结果pvs-字段","4","搜索结果pvs-字段"
"passed","3-我-会员中心.会员片库pvs-字段","4","页面跳转（首页-片库页-播放页）

会员片库pvs-字段"
"failed","93-频道 频道跳转.爱豆pvs-条数","4503","爱豆pvs-条数"
"failed","4动漫片库.TV版list-字段","2","TV版list-字段"
"passed","2播单-有广告.广告type1-字段值","3","广告type1-字段值"
"failed","分集下载.result-字段名","2","result-字段名"
"failed","13明星-作品或上传视频（加）.更多作品click-字段值","1","明星搜索

更多作品click-字段值"
"failed","合集下载.order-条数","2","order-条数"
"failed","11-推荐列表页大数据上报&Cdn上报.sdk列表页点击播放hb-字段","1","sdk列表页点击播放hb-字段"
"failed","分集下载.分集下载入口buy-字段名","2","分集下载入口buy-字段名"
"failed","93-频道 频道跳转.音乐片库pvs-条数","4510","音乐片库pvs-条数"
"passed","92-频道 点播页跳转.频道专题页pvs-字段值","3","频道专题页pvs-字段值"
"failed","前贴广告播放.四分之一监测t900-字段","3","四分之一监测t900-字段"
"failed","1-点播.点播前贴广告开始as-字段","4","点播前贴广告开始as-字段"
"failed","15电视-集数-上传视频-热门搜索.电视剧上传视频click-字段值","2","电视剧搜索

电视剧上传视频click-字段值"
"failed","02推荐词搜索.视频播放返回pvs-字段","4","视频播放返回pvs-字段"
"failed","分集付费.点击购买按钮click_pay_button-字段","1","点击购买按钮click_pay_button-字段"
"passed","93-频道 频道跳转.频道管理pvs-条数","11782","频道管理pvs-条数"
"failed","8-频道 个人点播跳转.个人播放分享到QQshare-字段","4","个人播放分享到QQshare-字段"
"failed","10高级筛选 2（加自频道）.新闻view-字段值","2","综艺推荐和搜索按钮搜索

新闻view-字段值"
"passed","3-我-会员中心.播放记录播放pvs-字段","3","页面跳转（首页-片库页-播放页）

播放记录播放pvs-字段"
"failed","1-点播.下载pvs-字段","4","下载pvs-字段"
"passed","4-我 页面跳转.消息中心返回pvs-字段","3","消息中心返回pvs-字段"
"passed","下拉刷新&频道性能.电影页pmm-条数","3058","电影页pmm-条数"
"failed","1综艺片库.点击视频播放data-click-字段名","2","点击视频播放data-click-字段名"
"passed","92-频道 点播页跳转.列表频道pvs-字段","3","列表频道pvs-字段"
"failed","分集付费.点击购买按钮click_pay_button-条数","2","点击购买按钮click_pay_button-条数"
"failed","2电视剧片库.爱情list-字段名","2","爱情list-字段名"
"failed","1-点播.点播前贴广告开始ae-字段值","4","点播前贴广告开始ae-字段值"
"failed","A库影片.sdkload-字段值","2","sdkload-字段值"
"passed","22-启动.启动pvs-字段","48","启动pvs-字段"
"passed","2播单-有广告.点击分享按钮share-条数","14115","点击分享按钮share-条数"
"failed","9-频道 场景直播跳转.cdn2-条数","27","cdn2-条数"
"failed","20错词纠错.纠错后切换标签","2","纠错后切换标签"
"passed","11-Vip 1.搜索页返回pvs-字段","4","搜索页返回pvs-字段"
"failed","97-其它.登录页-直播大厅pvs-字段值","4","登录页-直播大厅pvs-字段值"
"passed","03搜索无结果.搜索无结果search-字段值","3","电影搜索

搜索无结果search-字段值"
"passed","93-频道 频道跳转.电影pvs-字段名","3","电影pvs-字段名"
"failed","12-推荐列表页行为上报.进入推荐列表refresh-字段","2","进入推荐列表refresh-字段"
"failed","10高级筛选 2（加自频道）.动漫view-条数","1","综艺推荐和搜索按钮搜索

动漫view-条数"
"failed","4动漫片库.点全部list-字段","1","点全部list-字段"
"failed","10高级筛选 2（加自频道）.体育view-字段值","2","综艺推荐和搜索按钮搜索

体育view-字段值"
"passed","93-频道 频道跳转.电视剧片库返回pvs-条数","12761","电视剧片库返回pvs-条数"
"failed","9-频道 场景直播跳转.分享到微信share-条数","5330","分享到微信share-条数"
"failed","下拉刷新&频道性能.新闻页广告下拉刷新refresh-字段值","4","新闻页广告下拉刷新refresh-字段值"
"failed","09高级筛选 1.1周search-条数","2","综艺推荐和搜索按钮搜索

1周search-条数"
"passed","3-我-会员中心.我的观影劵返回pvs-字段名","3","页面跳转（首页-片库页-播放页）

我的观影劵返回pvs-字段名"
"failed","08直播.直播退出播放pvs-条数","2","直播退出播放pvs-条数"
"failed","20错词纠错.错词纠错search-条数","2","错词纠错search-条数"
"failed","10高级筛选 2（加自频道）.体育search-字段值","2","综艺推荐和搜索按钮搜索

体育search-字段值"
"passed","93-频道 频道跳转.音乐片库返回pvs-字段名","3","音乐片库返回pvs-字段名"
"failed","12-推荐列表页行为上报.推荐列表关注用户followu-字段值","2","推荐列表关注用户followu-字段值"
"failed","11艺人搜（加）.有空间艺人空间click-字段值","2","电影搜索

有空间艺人空间click-字段值"
"failed","10高级筛选 2（加自频道）.自频道view-条数","2","综艺推荐和搜索按钮搜索

自频道view-条数"
"passed","93-频道 频道跳转.少儿片库返回pvs-条数","13653","少儿片库返回pvs-条数"
"passed","4-我 页面跳转.关于我们返回pvs-字段","3","关于我们返回pvs-字段"
"failed","21-关注 2.关注pvs-字段名","3","5.7.0短视频之后版本

关注pvs-字段名"
"failed","6音乐片库.欧美专区tag-select-条数","1","欧美专区tag-select-条数"
"failed","合集下载.点击购买按钮click_pay_button-条数","1","点击购买按钮click_pay_button-条数"
"failed","13明星-作品或上传视频（加）.明星且艺人搜索pvs-条数","2","明星搜索

明星且艺人搜索pvs-条数"
"passed","92-频道 点播页跳转.明星空间返回pvs-字段","3","明星空间返回pvs-字段"
"failed","14综艺-全部-中间页-相同系列.进入空间click-字段","2","综艺推荐和搜索按钮搜索

进入空间click-字段"
"failed","7会员片库.美国list-条数","2","美国list-条数"
"passed","01仍然搜.搜索结果pvs-字段值","4","搜索结果pvs-字段值"
"failed","7会员片库.电影list-字段名","2","电影list-字段名"
"failed","分集下载.收银台展示show_store-字段名","2","收银台展示show_store-字段名"
"failed","前贴广告播放.四分之二监测t1800-字段值","4","四分之二监测t1800-字段值"
"passed","97-其它.邮箱登录-忘记密码pvs-字段","4","邮箱登录-忘记密码pvs-字段"
"passed","02推荐词搜索.推荐词搜索search-字段","4","推荐词搜索search-字段"
"failed","10高级筛选 2（加自频道）.电视剧pv-字段","1","综艺推荐和搜索按钮搜索

电视剧pv-字段"
"passed","4-我 页面跳转.我pvs-字段","3","我pvs-字段"
"failed","05明星空间.明星搜索search-条数","2","明星搜索

明星搜索search-条数"
"failed","20错词纠错.错词纠错view-字段值","2","错词纠错view-字段值"
"failed","09高级筛选 1.最热view-字段","1","综艺推荐和搜索按钮搜索

最热view-字段"
"failed","08直播.直播搜索pvs-字段值","2","直播搜索pvs-字段值"
"failed","4-我 页面跳转.关于我们pvs-字段名","3","关于我们pvs-字段名"
"passed","96-播单.aplay-条数","18192","aplay-条数"
"passed","93-频道 频道跳转.少儿pvs-字段","3","少儿pvs-字段"
"passed","96-播单.退出播放pvs-字段","4","退出播放pvs-字段"
"failed","18站外中间页.跳站外大图action-字段","2","站外中间页

跳站外大图action-字段"
"failed","1-点播.广告播放中上报type1-字段","3","广告播放中上报type1-字段"
"failed","2电视剧片库.全部pvs-条数","2","全部pvs-条数"
"passed","21-关注 2.关注pvs-字段","3","5.7.0短视频之后版本

关注pvs-字段"
"passed","93-频道 频道跳转.电影片库pvs-条数","34900","电影片库pvs-条数"
"failed","96-播单.播单列表视频加载vl-字段值","3","播单列表视频加载vl-字段值"
"failed","11艺人搜（加）.上传视频全部页返回pvs-条数","2","电影搜索

上传视频全部页返回pvs-条数"
"passed","2播单-有广告.分享到QQ空间share-字段","4","分享到QQ空间share-字段"
"failed","94-HB.播放页列表跳转播放aplay-字段值","4","播放页列表跳转播放aplay-字段值"
"passed","3-我-会员中心.我的订单返回pvs-字段","3","页面跳转（首页-片库页-播放页）

我的订单返回pvs-字段"
"passed","4-我 页面跳转.消息中心返回pvs-条数","7941","消息中心返回pvs-条数"
"failed","6音乐片库.流行list-条数","2","流行list-条数"
"failed","12热门推荐搜索（加 图和文字）.播放返回pvs-字段","2","综艺推荐和搜索按钮搜索

播放返回pvs-字段"
"failed","Vip直播.切换机位pvs-字段名","2","切换机位pvs-字段名"
"passed","11-Vip 1.开通会员返回pvs-字段名","3","开通会员返回pvs-字段名"
"failed","用券影片.试看入口buy-字段","2","试看入口buy-字段"
"failed","15电视-集数-上传视频-热门搜索.热门搜索search-条数","1","电视剧搜索

热门搜索search-条数"
"passed","4-我 页面跳转.绑定手机pvs-字段","3","绑定手机pvs-字段"
"failed","15电视-集数-上传视频-热门搜索.动漫播放返回pvs-字段值","2","电视剧搜索

动漫播放返回pvs-字段值"
"failed","10高级筛选 2（加自频道）.教育view-字段","2","综艺推荐和搜索按钮搜索

教育view-字段"
"failed","4-我 页面跳转.绑定手机pvs-字段名","4","绑定手机pvs-字段名"
"failed","09高级筛选 1.10-30分钟search-条数","1","综艺推荐和搜索按钮搜索

10-30分钟search-条数"
"failed","04相关明星相关艺人.明星搜索search-条数","20886","明星搜索

明星搜索search-条数"
"passed","03搜索无结果.精选看了会喜欢interestpv-条数","35","电影搜索

精选看了会喜欢interestpv-条数"
"passed","5-直播 1.直播关注pvs-条数","14014","直播关注pvs-条数"
"failed","10高级筛选 2（加自频道）.动漫search-字段","2","综艺推荐和搜索按钮搜索

动漫search-字段"
"failed","合集下载.会员去广告order-条数","2","会员去广告order-条数"
"failed","02推荐词搜索.翻页后点击合集action-字段值","4","翻页后点击合集action-字段值"
"failed","92-频道 点播页跳转.节目空间返回pvs-条数","4830","节目空间返回pvs-条数"
"failed","06电影-合集点击.电影搜索click-字段值","2","电影搜索click-字段值"
"failed","下拉刷新&频道性能.少儿页pmm-字段值","4","少儿页pmm-字段值"
"failed","15电视-集数-上传视频-热门搜索.动漫播放返回pvs-条数","1","电视剧搜索

动漫播放返回pvs-条数"
"passed","97-其它.芒果二次元-会员首页pvs-条数","41215","芒果二次元-会员首页pvs-条数"
"passed","93-频道 频道跳转.新闻pvs-字段","4","新闻pvs-字段"
"passed","2播单-有广告.进入播单底层页cp1-字段","4","进入播单底层页cp1-字段"
"failed","10高级筛选 2（加自频道）.音乐search-字段","1","综艺推荐和搜索按钮搜索

音乐search-字段"
"passed","8-频道 个人点播跳转.定时卡顿-条数","39","定时卡顿-条数"
"failed","下拉刷新&频道性能.音乐页广告下拉刷新refresh-条数","4650","音乐页广告下拉刷新refresh-条数"
"failed","10高级筛选 2（加自频道）.体育pv-字段","2","综艺推荐和搜索按钮搜索

体育pv-字段"
"failed","13明星-作品或上传视频（加）.中间页-明星作品点击action-字段值","2","明星搜索

中间页-明星作品点击action-字段值"
"failed","4动漫片库.真人版list-字段名","2","真人版list-字段名"
"failed","用券影片.order-字段","2","order-字段"
"failed","15电视-集数-上传视频-热门搜索.电视剧view-字段值","2","电视剧搜索

电视剧view-字段值"
"failed","1-点播.节目账号加载事件vl-条数","26","节目账号加载事件vl-条数"
"failed","11艺人搜（加）.艺人搜索view-字段值","2","电影搜索

艺人搜索view-字段值"
"passed","下拉刷新&频道性能.精选页pmm-字段","13","精选页pmm-字段"
"failed","15电视-集数-上传视频-热门搜索.电视剧search-字段","2","电视剧搜索

电视剧search-字段"
"failed","1综艺片库.点击视频播放data-click-字段","2","点击视频播放data-click-字段"
"failed","Vip直播.直播入口buy-字段名","2","直播入口buy-字段名"
"failed","07电视剧-中间页.中间页点击pvs-条数","2","中间页点击pvs-条数"
"failed","用券影片.取消支付cance-字段","1","取消支付cance-字段"
