酒店名称,价格,评分,地址,入住日期
上海陆家嘴丽呈酒店,370.0,4.7,近芳甸路地铁站 · 陆家嘴,2025-05-01
上海URSIDE酒店,272.0,4.7,近上海当代艺术博物馆 · 打浦桥,2025-05-01
唯庭轻居酒店（上海五角场长海医院店）,242.0,4.4,近上海体育大学(杨浦校区) · 江湾/五角场,2025-05-01
华舒·逸酒店(上海青浦城中西路店),184.0,4.8,近上海青浦吾悦广场 · 青浦朱家角/东方绿舟,2025-05-01
全季酒店(上海外滩天潼路店),606.0,4.7,近南京路步行街 · 北外滩,2025-05-01
际庭酒店式公寓(上海杨浦大桥店),265.0,4.7,近隆昌路地铁站 · 北外滩,2025-05-01
几木筱筑酒店(上海静安寺店),308.0,4.6,近愚园路历史风貌保护区 · 静安寺/南京西路,2025-05-01
一间森林酒店(上海旗舰店),152.0,4.5,近上海站 · 上海火车站地区,2025-05-01
上海陆家嘴万信R酒店,380.0,4.7,近LCM置汇旭辉广场 · 浦东金桥,2025-05-01
如家酒店·neo(上海浦东机场核心区东站店),248.0,4.6,近海天湖公园 · 浦东机场核心区,2025-05-01
